Transaction_ID,Date,Region,City,Sales_Channel,Product_Category,Product_Name,Units_Sold,Selling_Price,Unit_Cost,Revenue,Cost,Profit,Customer_Type
TXN-0001,2024-01-03,Banten,Tangerang,General Trade,Milk,Premium Whole Milk 1L,34,23000,20500,782000,697000,85000,Retail
TXN-0002,2024-01-03,Banten,Tangerang,Modern Trade,Milk,Premium Whole Milk 1L,24,25000,22500,600000,540000,60000,Retail
TXN-0003,2024-01-03,Jakarta,Jakarta Selatan,General Trade,Milk,Chocolate 1L,12,21500,18500,258000,222000,36000,Retail
TXN-0004,2024-01-03,East Java,Malang,Distributor,Yoghurt,Cimory Plain Yoghurt 400g,193,18500,15500,3570500,2991500,579000,Institution
TXN-0005,2024-01-03,Sumatera,Padang,General Trade,Nugget,Fiesta Crispy Nugget 400g,37,39000,33000,1443000,1221000,222000,Retail
TXN-0006,2024-01-03,Sumatera,Banda Aceh,Modern Trade,Milk,Cimory Chocolate 200ml,69,6000,5000,414000,345000,69000,HoReCa
TXN-0007,2024-01-04,Sumatera,Padang,Modern Trade,Cheese,Prochiz Gold Slices 150g,25,27000,20500,675000,512500,162500,Retail
TXN-0008,2024-01-04,Kalimantan,Banjarmasin,General Trade,Milk,Premium Whole Milk 1L,21,26500,23500,556500,493500,63000,Wholesale
TXN-0009,2024-01-05,Banten,Serang,General Trade,Sausage,Farmhouse Sausage 250g,8,28000,22500,224000,180000,44000,Retail
TXN-0010,2024-01-05,Central Java,Solo,Distributor,Cheese,Kiri Cream Cheese 80g,131,25500,20000,3340500,2620000,720500,HoReCa
TXN-0011,2024-01-05,Banten,Serang,Modern Trade,Milk,Cimory Full Cream 1L,46,22500,20000,1035000,920000,115000,HoReCa
TXN-0012,2024-01-05,East Java,Malang,Distributor,Milk,Cimory Full Cream 1L,195,22000,19000,4290000,3705000,585000,Wholesale
TXN-0013,2024-01-06,Central Java,Tegal,General Trade,Yoghurt,Cimory Yoghurt 500g,16,34000,28000,544000,448000,96000,Retail
TXN-0014,2024-01-06,Kalimantan,Banjarmasin,General Trade,Cheese,Kraft Cheddar Cheese 165g,11,30000,22000,330000,242000,88000,Retail
TXN-0015,2024-01-06,Jakarta,Jakarta Utara,Distributor,Sausage,So Good Chicken Sausage 375g,154,36000,29500,5544000,4543000,1001000,Institution
TXN-0016,2024-01-06,Jakarta,Jakarta Selatan,Modern Trade,Sausage,So Good Chicken Sausage 375g,43,36500,28000,1569500,1204000,365500,Retail
TXN-0017,2024-01-07,East Java,Surabaya,Modern Trade,Yoghurt,Cimory Mini Yoghurt 60ml,26,8000,6500,208000,169000,39000,Retail
TXN-0018,2024-01-07,Jakarta,Jakarta Pusat,Modern Trade,Yoghurt,Cimory Yoghurt 500g,57,28500,23000,1624500,1311000,313500,Retail
TXN-0019,2024-01-07,Jakarta,Jakarta Timur,Modern Trade,Cheese,Kraft Cheddar Cheese 165g,66,32000,22500,2112000,1485000,627000,Retail
TXN-0020,2024-01-08,Yogyakarta,Bantul,General Trade,Sausage,Vida Beef Sausage 200g,23,19000,14500,437000,333500,103500,Retail
TXN-0021,2024-01-08,West Java,Bandung,General Trade,Milk,Chocolate 1L,30,18000,16000,540000,480000,60000,Retail
TXN-0022,2024-01-08,Kalimantan,Pontianak,Modern Trade,Milk,Cimory Milk Vanilla 200ml,20,5500,5000,110000,100000,10000,HoReCa
TXN-0023,2024-01-08,Jakarta,Jakarta Barat,Modern Trade,Yoghurt,Cimory Plain Yoghurt 400g,50,21000,18000,1050000,900000,150000,Retail
TXN-0024,2024-01-08,Jakarta,Jakarta Pusat,General Trade,Nugget,So Good Chicken Nugget 500g,19,43500,37000,826500,703000,123500,Wholesale
TXN-0025,2024-01-09,Central Java,Solo,General Trade,Milk,Premium Whole Milk 1L,39,23000,20000,897000,780000,117000,Retail
TXN-0026,2024-01-09,Sumatera,Banda Aceh,Modern Trade,Sausage,So Good Chicken Sausage 375g,18,36500,30000,657000,540000,117000,Retail
TXN-0027,2024-01-09,Central Java,Tegal,General Trade,Milk,Chocolate 1L,21,19000,17000,399000,357000,42000,Wholesale
TXN-0028,2024-01-10,Central Java,Tegal,Modern Trade,Sausage,Bernardi Beef Sausage 500g,51,56000,43000,2856000,2193000,663000,Retail
TXN-0029,2024-01-10,Central Java,Solo,Distributor,Cheese,Kiri Cream Cheese 80g,54,24500,18000,1323000,972000,351000,Institution
TXN-0030,2024-01-10,Jakarta,Jakarta Timur,Modern Trade,Nugget,Belfoods Royal Nugget 500g,47,38000,33000,1786000,1551000,235000,Retail
TXN-0031,2024-01-11,Central Java,Semarang,Distributor,Cheese,Anchor Cheddar Block 500g,58,76500,61000,4437000,3538000,899000,Institution
TXN-0032,2024-01-11,Jakarta,Jakarta Utara,Distributor,Milk,Premium Whole Milk 1L,113,26500,23500,2994500,2655500,339000,Institution
TXN-0033,2024-01-11,East Java,Kediri,Distributor,Nugget,Champ Chicken Nugget 250g,143,20000,17000,2860000,2431000,429000,Wholesale
TXN-0034,2024-01-11,Jakarta,Jakarta Timur,Modern Trade,Nugget,So Good Chicken Nugget 500g,34,53500,44500,1819000,1513000,306000,Retail
TXN-0035,2024-01-12,Sumatera,Pekanbaru,General Trade,Nugget,Fiesta Crispy Nugget 400g,37,42000,37000,1554000,1369000,185000,Retail
TXN-0036,2024-01-12,Yogyakarta,Sleman,Modern Trade,Nugget,So Good Chicken Nugget 500g,29,51500,45000,1493500,1305000,188500,Retail
TXN-0037,2024-01-12,East Java,Kediri,General Trade,Milk,Chocolate 1L,30,21500,19500,645000,585000,60000,Wholesale
TXN-0038,2024-01-12,West Java,Bogor,Distributor,Cheese,Kiri Cream Cheese 80g,141,22000,16000,3102000,2256000,846000,Wholesale
TXN-0039,2024-01-12,West Java,Bandung,Distributor,Sausage,So Good Chicken Sausage 375g,108,32000,26000,3456000,2808000,648000,Institution
TXN-0040,2024-01-12,Jakarta,Jakarta Pusat,Modern Trade,Nugget,Belfoods Royal Nugget 500g,64,47500,39500,3040000,2528000,512000,Retail
TXN-0041,2024-01-12,Central Java,Semarang,General Trade,Cheese,Kiri Cream Cheese 80g,34,27000,19000,918000,646000,272000,Wholesale
TXN-0042,2024-01-13,Central Java,Solo,Distributor,Sausage,So Good Chicken Sausage 375g,173,40500,33000,7006500,5709000,1297500,Wholesale
TXN-0043,2024-01-13,Kalimantan,Balikpapan,Modern Trade,Sausage,Farmhouse Sausage 250g,62,21000,16000,1302000,992000,310000,Retail
TXN-0044,2024-01-14,Sumatera,Padang,Modern Trade,Sausage,So Good Chicken Sausage 375g,50,40500,32500,2025000,1625000,400000,Retail
TXN-0045,2024-01-14,East Java,Surabaya,Distributor,Milk,Cimory Milk Vanilla 200ml,216,5500,5000,1188000,1080000,108000,Wholesale
TXN-0046,2024-01-14,Kalimantan,Banjarmasin,Distributor,Milk,Premium Whole Milk 1L,50,25500,21500,1275000,1075000,200000,Institution
TXN-0047,2024-01-14,East Java,Kediri,General Trade,Nugget,Champ Chicken Nugget 250g,14,21000,17500,294000,245000,49000,Retail
TXN-0048,2024-01-14,Jakarta,Jakarta Timur,Distributor,Cheese,Prochiz Gold Slices 150g,162,30000,22000,4860000,3564000,1296000,Wholesale
TXN-0049,2024-01-14,West Java,Tasikmalaya,Distributor,Cheese,Kraft Cheddar Cheese 165g,202,32500,25500,6565000,5151000,1414000,Wholesale
TXN-0050,2024-01-14,Yogyakarta,Bantul,General Trade,Milk,Premium Whole Milk 1L,41,23000,20000,943000,820000,123000,Wholesale
TXN-0051,2024-01-14,Kalimantan,Pontianak,General Trade,Sausage,Vida Beef Sausage 200g,36,18500,15000,666000,540000,126000,Retail
TXN-0052,2024-01-15,East Java,Jember,General Trade,Milk,Premium Whole Milk 1L,36,25000,21500,900000,774000,126000,Retail
TXN-0053,2024-01-15,West Java,Cimahi,General Trade,Cheese,Kiri Cream Cheese 80g,15,20500,14500,307500,217500,90000,Retail
TXN-0054,2024-01-15,Sumatera,Palembang,Modern Trade,Milk,Cimory Milk Vanilla 200ml,17,5000,4500,85000,76500,8500,Retail
TXN-0055,2024-01-15,Banten,Serang,General Trade,Yoghurt,Cimory Yoghurt Drink 250ml,32,10500,9000,336000,288000,48000,Wholesale
TXN-0056,2024-01-15,Sumatera,Medan,Distributor,Milk,Chocolate 1L,125,21000,18000,2625000,2250000,375000,Institution
TXN-0057,2024-01-16,Kalimantan,Banjarmasin,General Trade,Sausage,Farmhouse Sausage 250g,29,26500,20000,768500,580000,188500,Wholesale
TXN-0058,2024-01-16,Kalimantan,Samarinda,Distributor,Cheese,Anchor Cheddar Block 500g,127,83000,60000,10541000,7620000,2921000,Wholesale
TXN-0059,2024-01-16,Central Java,Pekalongan,Distributor,Cheese,Laughing Cow Creamy 8pcs,57,21500,16500,1225500,940500,285000,Wholesale
TXN-0060,2024-01-16,East Java,Kediri,Distributor,Milk,Cimory Milk Vanilla 200ml,70,4500,4000,315000,280000,35000,Wholesale
TXN-0061,2024-01-17,Jakarta,Jakarta Utara,General Trade,Yoghurt,Cimory Plain Yoghurt 400g,40,19500,16000,780000,640000,140000,Retail
TXN-0062,2024-01-17,Yogyakarta,Wonosari,General Trade,Nugget,So Good Chicken Nugget 500g,39,46000,39500,1794000,1540500,253500,Wholesale
TXN-0063,2024-01-17,Jakarta,Jakarta Timur,Distributor,Nugget,Champ Chicken Nugget 250g,129,24500,21000,3160500,2709000,451500,Wholesale
TXN-0064,2024-01-18,Yogyakarta,Wonosari,General Trade,Sausage,So Good Chicken Sausage 375g,26,41000,31000,1066000,806000,260000,Wholesale
TXN-0065,2024-01-18,Banten,Tangerang,Modern Trade,Yoghurt,Cimory Yoghurt Strawberry 100g,28,11500,9500,322000,266000,56000,Retail
TXN-0066,2024-01-18,Jakarta,Jakarta Utara,Distributor,Yoghurt,Cimory Plain Yoghurt 400g,88,23500,19000,2068000,1672000,396000,Wholesale
TXN-0067,2024-01-18,West Java,Cimahi,Modern Trade,Nugget,Champ Chicken Nugget 250g,67,22000,19500,1474000,1306500,167500,Retail
TXN-0068,2024-01-18,West Java,Bekasi,Modern Trade,Milk,Chocolate 1L,51,18000,16000,918000,816000,102000,Retail
TXN-0069,2024-01-18,Central Java,Pekalongan,Distributor,Milk,Premium Whole Milk 1L,64,25500,22000,1632000,1408000,224000,Institution
